,Root,Salt.stress,Insect.herbivory,Bacterial.infection,Stem,Flower,Leaves,Drought.stress
AhypMYB001,-0.7889688100182912,-1.0171220680092892,-0.09242971428586148,-1.6117072545342397,0.09257120973983497,0.023613077647276454,0.4611514232677102,0.23245939547165106
AhypMYB002,-0.1208153003629493,-0.7149197519667033,1.493197224878321,0.8859507835533398,-0.869822749988119,2.570693781291351,1.8385091836859206,-0.18083564701320493
AhypMYB003,-2.018649618821595,-1.6284240517243254,1.2105653720404321,-0.36997524275871363,0.4710125638774361,0.20670032375808103,1.7872402469080335,-0.0018124528867126165
AhypMYB004,-0.13368904031966128,0.12527352419087856,0.4407667018432162,-1.282964603451064,0.6392824191808985,-0.4806040711584494,0.2902778477599652,-1.124354095038262
AhypMYB005,0.7381714251159479,-0.5785115399233867,0.44289696039016396,1.221644029703794,0.824236759559382,-1.3171082992223986,0.8218431450874899,-1.431962342608092
AhypMYB006,1.557997612324496,1.4983138523875579,-0.44308085770661937,-0.33308290557277226,2.237881558518485,-1.0439393247945346,-0.12975197015956813,-0.20421382504691277
AhypMYB007,-2.0053943899657867,-0.10380492513543174,-1.4910994844744783,-1.6670962969833596,1.127458754626337,1.7282847396974916,0.14884304501532283,-1.0480020251046114
AhypMYB008,1.0061250963294228,-1.4694249886282744,0.3806708293557509,1.263192572878547,0.5753726299905354,0.4463470211283493,-2.1544573127177333,2.225639873164504
AhypMYB009,-0.13963203083615291,0.1327483901215103,1.9491471304543302,-0.5069010281626392,-0.15274324294481043,0.3937194988416916,-2.168853968311994,-1.6784668696178913
AhypMYB010,-0.25292052679902693,0.8532041490142123,-0.5858286173410377,-0.3675037294370835,0.435640914900164,-0.28123207233441794,1.141814948952685,0.49632887624141625
AhypMYB011,-1.3562419228246017,-0.5534970345118555,-0.003700963092683898,-1.9483726136066672,-0.27383811132302366,-0.8048149258515547,0.44172462739541135,0.11391317118398823
AhypMYB012,-1.6322119202123408,0.552860112387217,0.15834509390217563,-1.0417282682441749,1.4472477689574499,-0.9028311063262808,0.4091266215330932,-1.1969275271082038
AhypMYB013,0.7178102111865897,1.5421787595140224,-0.2797657196457226,0.4359443639523439,-0.6608809250045499,-0.9376521301122998,-1.7334625164504038,0.19652741131712087
AhypMYB014,0.6843008819519805,-0.5355400904397755,0.6402260322651766,-0.28378392576982503,-2.256538151345869,-0.2605147680790323,-0.0671116250573735,-2.378476460106598
AhypMYB015,0.5125051478903928,-0.5915231116164648,-0.629111826611374,1.5142698813995243,-0.06366854403393798,0.22602287108407582,-0.9274498751668538,-0.6303784317645577
AhypMYB016,0.2794936609701881,0.5667525696807003,0.8426112032434775,-0.6872339132917586,-0.11610056854909491,1.2684054660113642,-1.2631235293289071,0.29934078245382084
AhypMYB017,0.9474242896242571,-0.011269449410487912,-0.55358765639763,-1.7006728318145854,0.7304326523693063,0.2930373867668004,0.06858529362389673,-0.8947469970834426
AhypMYB018,-1.1838708291380153,0.47582399100448025,0.28685942759936445,1.2490847568920798,0.44696431610835197,-0.7176865971497371,-0.46984123854787146,0.10960684445747566
AhypMYB019,-1.8088624835981375,-1.085467904304579,-0.740236430772391,0.30454969908211815,0.976521350663793,0.4042678127429049,-0.7844187015271363,-0.37447613891950393
AhypMYB020,2.065295676371558,-0.047479452965442565,1.9165658026810435,1.2117363833589345,-0.6606063492567723,-0.9995914973224082,0.44865021401037164,0.545611823004224
AhypMYB021,-1.2896773610564332,-0.632793303289824,-1.9556562626792453,-0.41976092736235476,-1.3124103781608092,0.1249758670847676,0.7453742243732331,0.9304025451391991
AhypMYB022,-2.153712546141055,0.7572043631809009,0.22958372365645358,-0.629419832635035,0.1431918989872381,0.09807517200475309,-0.5828789208965851,-0.9671994952155268
AhypMYB023,0.8507497633158974,0.8456818747470578,1.5233825900472697,-0.3390876556259025,1.5690369586158424,1.4965183124770065,1.3188141339686115,-0.6674064562837504
AhypMYB024,0.8972192050704997,-0.14995935230593332,0.8933537595737732,1.112893506017236,1.0699606336044216,0.6068968095316288,0.4194960552955513,0.6725791938652048
AhypMYB025,0.7331797025890625,-0.5811452703984665,-1.241406512448349,-1.9509127157486648,0.9633248429511138,0.18282725296301774,-0.7552480763392381,1.288247346290087
AhypMYB026,0.08569823594963297,0.40392147320510946,-0.8415106811935383,0.09300686086400883,0.7017560197286958,-0.10479086025541616,-0.04841581444668616,0.2699285664251007
AhypMYB027,-0.3228104498975093,-0.5581289479644899,-0.12256090306947881,-0.2297071604321334,0.23116682559571392,0.48633473855147275,-0.7196116350604598,1.002536802509182
AhypMYB028,0.59053361931109,0.11178339790779258,0.7265391424429148,0.28259041111162514,0.7905476183563735,0.5741041861213522,-0.871292730564384,1.0982938290311504
AhypMYB029,-0.17662315322452243,1.3554226217354761,-0.059394829806078964,-1.1879309823083317,0.38179400227367766,-0.4609714703053556,0.9532918596220923,-0.8443109329868028
AhypMYB030,-0.4067404832924573,-1.1114727639233546,0.5151326192642961,0.7542455159491925,1.5168745311613554,-0.6580810390365212,-0.5947400268075986,0.04852044228872133
AhypMYB031,0.42194506199256265,1.1724926265625697,-0.5518224521209878,-0.7206507053986337,-0.5962512354277246,-1.3282408142290718,-2.4400993080876794,0.9735276600181556
AhypMYB032,-1.2310579111571829,-0.07918964935983247,0.8550511248096243,0.08877157047007507,-0.49435183139005634,-2.0335680404590124,-0.15187642743401933,0.2052084666296391
AhypMYB033,-0.5400731203782957,1.0241809815983731,0.31841056205522683,1.0050111682127874,-1.251823862425479,-0.1496825456877256,0.785262535985933,-1.8011315475075749
AhypMYB034,-0.03044923031579887,-1.24940391059746,-0.9286357244178488,-0.7731042491552746,-0.18987969416908348,-0.8670421393852784,-0.28827836370717397,2.0526220698601736
AhypMYB035,0.7177087430216962,1.0642261977384446,-1.5013922904733639,1.8017407321573977,-1.724936598810891,0.6822050190550689,-0.9613099388350705,0.5165081569118426
AhypMYB036,0.36333144325557776,0.5380219955451886,-0.3450978802594896,-0.3573016398347009,-0.80582032503124,1.7386831737712094,0.23764135218504212,1.4647301197312936
AhypMYB037,-0.856880313882481,-0.05430095539898325,-1.0675510722342803,-0.27968165382809057,-1.1417372462441957,-1.0529627489449707,0.7176453445786565,-0.0888880943161395
AhypMYB038,-1.3567306452859111,0.5110939306491177,-2.5798926040288155,0.108061241797321,0.8122126848060213,-0.0385574893328521,-0.7287717217403165,-2.320490613787104
